Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,Packaging,Series,Part Status,Core Processor,Core Size,Speed,Connectivity,Peripherals,Number of I/O,Program Memory Size,Program Memory Type,EEPROM Size,RAM Size,Voltage - Supply (Vcc/Vdd),Data Converters,Oscillator Type,Operating Temperature,Mounting Type,Package / Case,Supplier Device Package
DSPIC33FJ64MC802-I/SP-ND,DSPIC33FJ64MC802-I/SP,Microchip Technology,IC MCU 16BIT 64KB FLASH 28SDIP,5,0,5.16,0,1,Tube,dsPIC™ 33F,Active,dsPIC,16-Bit,40 MIPs,"CANbus, I²C, IrDA, LINbus, SPI, UART/USART","Brown-out Detect/Reset, DMA, Motor Control PWM, POR, PWM, QEI, WDT",21,64KB (64K x 8),FLASH,-,16K x 8,3V ~ 3.6V,A/D 6x10b/12b,Internal,-40°C ~ 85°C (TA),Through Hole,"28-DIP (0.300"", 7.62mm)",18-PDIP
DSPIC33FJ64MC802-E/SP-ND,DSPIC33FJ64MC802-E/SP,Microchip Technology,IC MCU 16BIT 64KB FLASH 28SDIP,0,0,4.6968,0,150,Tube,dsPIC™ 33F,Active,dsPIC,16-Bit,40 MIPs,"CANbus, I²C, IrDA, LINbus, SPI, UART/USART","Brown-out Detect/Reset, DMA, Motor Control PWM, POR, PWM, QEI, WDT",21,64KB (64K x 8),FLASH,-,16K x 8,3V ~ 3.6V,A/D 6x10b/12b,Internal,-40°C ~ 125°C (TA),Through Hole,"28-DIP (0.300"", 7.62mm)",18-PDIP
DSPIC33FJ64MC202-I/SP-ND,DSPIC33FJ64MC202-I/SP,Microchip Technology,IC MCU 16BIT 64KB FLASH 28SDIP,0,0,4.03761,0,180,Tube,dsPIC™ 33F,Active,dsPIC,16-Bit,40 MIPs,"I²C, IrDA, LINbus, SPI, UART/USART","Brown-out Detect/Reset, DMA, Motor Control PWM, POR, PWM, QEI, WDT",21,64KB (64K x 8),FLASH,-,8K x 8,3V ~ 3.6V,A/D 6x10b/12b,Internal,-40°C ~ 85°C (TA),Through Hole,"28-DIP (0.300"", 7.62mm)",18-PDIP
DSPIC33FJ64MC202-E/SP-ND,DSPIC33FJ64MC202-E/SP,Microchip Technology,IC MCU 16BIT 64KB FLASH 28SDIP,0,0,4.42903,0,165,Tube,dsPIC™ 33F,Active,dsPIC,16-Bit,40 MIPs,"I²C, IrDA, LINbus, SPI, UART/USART","Brown-out Detect/Reset, DMA, Motor Control PWM, POR, PWM, QEI, WDT",21,64KB (64K x 8),FLASH,-,8K x 8,3V ~ 3.6V,A/D 6x10b/12b,Internal,-40°C ~ 125°C (TA),Through Hole,"28-DIP (0.300"", 7.62mm)",18-PDIP
DSPIC33FJ64GP802-I/SP-ND,DSPIC33FJ64GP802-I/SP,Microchip Technology,IC MCU 16BIT 64KB FLASH 28SDIP,18,0,5.05,0,1,Tube,dsPIC™ 33F,Active,dsPIC,16-Bit,40 MIPs,"CANbus, I²C, IrDA, LINbus, SPI, UART/USART","Brown-out Detect/Reset, DCI, DMA, I²S, POR, PWM, WDT",21,64KB (64K x 8),FLASH,-,16K x 8,3V ~ 3.6V,A/D 10x10b/12b; D/A 2x16b,Internal,-40°C ~ 85°C (TA),Through Hole,"28-DIP (0.300"", 7.62mm)",18-PDIP
DSPIC33FJ64GP802-E/SP-ND,DSPIC33FJ64GP802-E/SP,Microchip Technology,IC MCU 16BIT 64KB FLASH 28SDIP,0,0,4.58353,0,150,Tube,dsPIC™ 33F,Active,dsPIC,16-Bit,40 MIPs,"CANbus, I²C, IrDA, LINbus, SPI, UART/USART","Brown-out Detect/Reset, DCI, DMA, I²S, POR, PWM, WDT",21,64KB (64K x 8),FLASH,-,16K x 8,3V ~ 3.6V,A/D 10x10b/12b; D/A 2x16b,Internal,-40°C ~ 125°C (TA),Through Hole,"28-DIP (0.300"", 7.62mm)",28-SPDIP
DSPIC33FJ64GP202-I/SP-ND,DSPIC33FJ64GP202-I/SP,Microchip Technology,IC MCU 16BIT 64KB FLASH 28SDIP,0,0,3.84189,0,180,Tube,dsPIC™ 33F,Active,dsPIC,16-Bit,40 MIPs,"I²C, IrDA, LINbus, SPI, UART/USART","Brown-out Detect/Reset, DCI, DMA, I²S, POR, PWM, WDT",21,64KB (64K x 8),FLASH,-,8K x 8,3V ~ 3.6V,A/D 10x10b/12b,Internal,-40°C ~ 85°C (TA),Through Hole,"28-DIP (0.300"", 7.62mm)",18-PDIP
DSPIC33FJ64GP202-E/SP-ND,DSPIC33FJ64GP202-E/SP,Microchip Technology,IC MCU 16BIT 64KB FLASH 28SDIP,10,0,5.07,0,1,Tube,dsPIC™ 33F,Active,dsPIC,16-Bit,40 MIPs,"I²C, IrDA, LINbus, SPI, UART/USART","Brown-out Detect/Reset, DCI, DMA, I²S, POR, PWM, WDT",21,64KB (64K x 8),FLASH,-,8K x 8,3V ~ 3.6V,A/D 10x10b/12b,Internal,-40°C ~ 125°C (TA),Through Hole,"28-DIP (0.300"", 7.62mm)",28-SPDIP
DSPIC33FJ32MC302-I/SP-ND,DSPIC33FJ32MC302-I/SP,Microchip Technology,IC MCU 16BIT 32KB FLASH 28SDIP,0,0,3.54323,0,195,Tube,dsPIC™ 33F,Active,dsPIC,16-Bit,40 MIPs,"I²C, IrDA, LINbus, SPI, UART/USART","Brown-out Detect/Reset, DMA, Motor Control PWM, POR, PWM, QEI, WDT",21,32KB (32K x 8),FLASH,-,4K x 8,3V ~ 3.6V,A/D 6x10b/12b,Internal,-40°C ~ 85°C (TA),Through Hole,"28-DIP (0.300"", 7.62mm)",20-PDIP
DSPIC33FJ32MC302-E/SP-ND,DSPIC33FJ32MC302-E/SP,Microchip Technology,IC MCU 16BIT 32KB FLASH 28SDIP,0,0,3.88311,0,180,Tube,dsPIC™ 33F,Active,dsPIC,16-Bit,40 MIPs,"I²C, IrDA, LINbus, SPI, UART/USART","Brown-out Detect/Reset, DMA, Motor Control PWM, POR, PWM, QEI, WDT",21,32KB (32K x 8),FLASH,-,4K x 8,3V ~ 3.6V,A/D 6x10b/12b,Internal,-40°C ~ 125°C (TA),Through Hole,"28-DIP (0.300"", 7.62mm)",18-PDIP
